country,party,party_family,year,environment_climate_mean,healthcare_mean,climate_health_mean,n_total,low_data
Austria,Social Democratic Party of Austria,Social Democracy,2017.0,0.03122730573710966,0.0392156862745098,0.0,1377,False
Austria,Social Democratic Party of Austria,Social Democracy,2018.0,0.03811764705882353,0.05411764705882353,0.0,2125,False
Austria,Social Democratic Party of Austria,Social Democracy,2019.0,0.04416135881104034,0.04331210191082802,0.0,2355,False
Austria,Social Democratic Party of Austria,Social Democracy,2020.0,0.02875629043853343,0.08626887131560029,0.0,1391,False
Austria,Social Democratic Party of Austria,Social Democracy,2021.0,0.010282776349614395,0.07583547557840617,0.0,778,False
Austria,Social Democratic Party of Austria,Social Democracy,2022.0,0.03872216844143272,0.028073572120038724,0.0,1033,False
Austria,Social Democratic Party of Austria,Social Democracy,2023.0,0.0110803324099723,0.00554016620498615,0.0,361,False
Austria,Social Democratic Party of Austria,Social Democracy,2024.0,0.005847953216374269,0.04483430799220273,0.0,513,False
Austria,Social Democratic Party of Austria,Social Democracy,2025.0,0.002512562814070352,0.02512562814070352,0.0,398,False
Austria,The Greens -- The Green Alternative,Green,2010.0,0.05609418282548476,0.04847645429362881,0.0,1444,False
Austria,The Greens -- The Green Alternative,Green,2011.0,0.04320557491289199,0.03554006968641115,0.0,1435,False
Austria,The Greens -- The Green Alternative,Green,2012.0,0.04231830726770929,0.027598896044158234,0.0,1087,False
Austria,The Greens -- The Green Alternative,Green,2013.0,0.04919583727530748,0.03500473036896878,0.0,1057,False
Austria,The Greens -- The Green Alternative,Green,2014.0,0.058774834437086095,0.05132450331125828,0.0,1208,False
Austria,The Greens -- The Green Alternative,Green,2015.0,0.058922558922558925,0.04461279461279461,0.0,1188,False
Austria,The Greens -- The Green Alternative,Green,2016.0,0.05472103004291846,0.0407725321888412,0.0,932,False
Austria,The Greens -- The Green Alternative,Green,2017.0,0.08974358974358974,0.05413105413105413,0.0,702,False
Austria,The Greens -- The Green Alternative,Green,2018.0,0.11616161616161616,0.0,0.0,198,False
Austria,The Greens -- The Green Alternative,Green,2019.0,0.22070844686648503,0.0027247956403269754,0.0,367,False
Austria,The Greens -- The Green Alternative,Green,2020.0,0.15616438356164383,0.049315068493150684,0.0,365,False
Austria,The Greens -- The Green Alternative,Green,2021.0,0.37037037037037035,0.037037037037037035,0.0,108,False
Austria,The Greens -- The Green Alternative,Green,2022.0,0.27835051546391754,0.010309278350515464,0.0,97,False
Austria,The Greens -- The Green Alternative,Green,2023.0,0.36666666666666664,0.022222222222222223,0.0,90,False
Austria,The Greens -- The Green Alternative,Green,2024.0,0.3314285714285714,0.005714285714285714,0.0,175,False
Austria,The Greens -- The Green Alternative,Green,2025.0,0.09803921568627451,0.0,0.0,51,False
Belgium,Flemish Block | Flemish Interest,Radical Right-Wing,2023.0,0.0,0.0425531914893617,0.0,47,False
Belgium,Flemish Block | Flemish Interest,Radical Right-Wing,2024.0,0.014608233731739707,0.027888446215139442,0.0,753,False
Belgium,Flemish Block | Flemish Interest,Radical Right-Wing,2025.0,0.014705882352941176,0.03431372549019608,0.0,204,False
Belgium,Workers' Party of Belgium,Communist/Socialist,2023.0,0.043478260869565216,0.057971014492753624,0.0,69,False
Belgium,Workers' Party of Belgium,Communist/Socialist,2024.0,0.008264462809917356,0.049586776859504134,0.0,121,False
Belgium,Workers' Party of Belgium,Communist/Socialist,2025.0,0.01020408163265306,0.05102040816326531,0.0,98,False
Bulgaria,Citizens for European Development of Bulgaria,Radical Right-Wing,2024.0,0.014109347442680775,0.0564373897707231,0.0,567,False
Bulgaria,Citizens for European Development of Bulgaria,Radical Right-Wing,2025.0,0.016129032258064516,0.08064516129032258,0.0,62,False
Bulgaria,Coalition for Bulgaria | Democratic Left,Social Democracy,2016.0,0.01282051282051282,0.0,0.0,78,False
Bulgaria,Coalition for Bulgaria | Democratic Left,Social Democracy,2017.0,0.011103400416377515,0.0395558639833449,0.0,1441,False
Bulgaria,Coalition for Bulgaria | Democratic Left,Social Democracy,2018.0,0.005376344086021506,0.05309139784946237,0.0,1488,False
Bulgaria,Coalition for Bulgaria | Democratic Left,Social Democracy,2019.0,0.011454753722794959,0.03951890034364261,0.0,1746,False
Bulgaria,Coalition for Bulgaria | Democratic Left,Social Democracy,2020.0,0.036661466458658344,0.09282371294851795,0.0,1282,False
Bulgaria,Coalition for Bulgaria | Democratic Left,Social Democracy,2021.0,0.008322663252240717,0.06978233034571063,0.0,1562,False
Bulgaria,Coalition for Bulgaria | Democratic Left,Social Democracy,2022.0,0.004297994269340974,0.017191977077363897,0.0,2094,False
Bulgaria,Coalition for Bulgaria | Democratic Left,Social Democracy,2023.0,0.00899165061014772,0.012202954399486191,0.0,1557,False
Bulgaria,Coalition for Bulgaria | Democratic Left,Social Democracy,2024.0,0.005307855626326964,0.018046709129511677,0.0,942,False
Bulgaria,Coalition for Bulgaria | Democratic Left,Social Democracy,2025.0,0.03292181069958848,0.03497942386831276,0.0,1458,False
Bulgaria,There Is Such a People,Conservative,2021.0,0.009615384615384616,0.04326923076923077,0.0,208,False
Bulgaria,There Is Such a People,Conservative,2022.0,0.013452914798206279,0.017937219730941704,0.0,223,False
Bulgaria,There Is Such a People,Conservative,2023.0,0.020618556701030927,0.020618556701030927,0.0,97,False
Bulgaria,There Is Such a People,Conservative,2024.0,0.0,0.015625,0.0,64,False
Bulgaria,There Is Such a People,Conservative,2025.0,0.0,0.0875,0.0,80,False
Bulgaria,We Continue the Change,Special issue,2021.0,0.011235955056179775,0.0449438202247191,0.0,89,False
Bulgaria,We Continue the Change,Special issue,2022.0,0.02247191011235955,0.028089887640449437,0.0,178,False
Bulgaria,We Continue the Change,Special issue,2023.0,0.018691588785046728,0.06542056074766354,0.0,107,False
Bulgaria,We Continue the Change,Special issue,2024.0,0.005434782608695652,0.09239130434782608,0.0,184,False
Bulgaria,We Continue the Change,Special issue,2025.0,0.0,0.07692307692307693,0.0,104,False
Croatia,Bridge of Independent Lists,Conservative,2016.0,0.04081632653061224,0.030612244897959183,0.0,98,False
Croatia,Bridge of Independent Lists,Conservative,2017.0,0.0547945205479452,0.0273972602739726,0.0,73,False
Croatia,Bridge of Independent Lists,Conservative,2018.0,0.06060606060606061,0.05303030303030303,0.0,132,False
Croatia,Bridge of Independent Lists,Conservative,2019.0,0.14285714285714285,0.06493506493506493,0.0,77,False
Croatia,Bridge of Independent Lists,Conservative,2020.0,0.08,0.09333333333333334,0.0,75,False
Croatia,Bridge of Independent Lists,Conservative,2021.0,0.029411764705882353,0.08823529411764706,0.0,170,False
Croatia,Bridge of Independent Lists,Conservative,2022.0,0.020689655172413793,0.041379310344827586,0.0,145,False
Croatia,Bridge of Independent Lists,Conservative,2023.0,0.043478260869565216,0.08695652173913043,0.0,46,False
Croatia,Bridge of Independent Lists,Conservative,2024.0,0.0,0.0,0.0,5,True
Croatia,Bridge of Independent Lists,Conservative,2025.0,0.0,0.1111111111111111,0.0,18,True
Croatia,Croatian Democratic Union,Christian Democracy,2019.0,0.0011389521640091116,0.007972665148063782,0.0,878,False
Croatia,Croatian Democratic Union,Christian Democracy,2020.0,0.0023584905660377358,0.10495283018867925,0.0,848,False
Croatia,Croatian Democratic Union,Christian Democracy,2021.0,0.0070028011204481795,0.09803921568627451,0.0,714,False
Croatia,Croatian Democratic Union,Christian Democracy,2022.0,0.0045385779122541605,0.007564296520423601,0.0,661,False
Croatia,Croatian Democratic Union,Christian Democracy,2023.0,0.00782472613458529,0.00782472613458529,0.0,639,False
Croatia,Croatian Democratic Union,Christian Democracy,2024.0,0.0018083182640144665,0.009041591320072333,0.0,553,False
Croatia,Croatian Democratic Union,Christian Democracy,2025.0,0.0020876826722338203,0.0,0.0,479,False
Croatia,Social Democratic Party of Croatia,Social Democracy,2010.0,0.026881720430107527,0.021505376344086023,0.0,186,False
Croatia,Social Democratic Party of Croatia,Social Democracy,2011.0,0.012711864406779662,0.0,0.0,236,False
Croatia,Social Democratic Party of Croatia,Social Democracy,2012.0,0.011494252873563218,0.011494252873563218,0.0,87,False
Croatia,Social Democratic Party of Croatia,Social Democracy,2013.0,0.0,0.0,0.0,55,False
Croatia,Social Democratic Party of Croatia,Social Democracy,2014.0,0.0,0.0,0.0,13,True
Croatia,Social Democratic Party of Croatia,Social Democracy,2015.0,0.03426791277258567,0.09968847352024922,0.0,321,False
