party_family,year,environment_climate_issue1_sum,environment_climate_issue1_mean,healthcare_issue1_sum,healthcare_issue1_mean,climate_health_sum,climate_health_mean
Agrarian,2010.0,0,0.0,1,0.007142857142857143,0,0.0
Agrarian,2011.0,1,0.00641025641025641,0,0.0,0,0.0
Agrarian,2012.0,1,0.008130081300813009,2,0.016260162601626018,0,0.0
Agrarian,2013.0,3,0.01910828025477707,2,0.012738853503184714,0,0.0
Agrarian,2014.0,56,0.1050656660412758,11,0.020637898686679174,0,0.0
Agrarian,2015.0,67,0.10291858678955453,15,0.02304147465437788,0,0.0
Agrarian,2016.0,92,0.0642009769713887,29,0.020237264480111653,0,0.0
Agrarian,2017.0,156,0.08970672800460035,75,0.04312823461759632,0,0.0
Agrarian,2018.0,71,0.06501831501831502,54,0.04945054945054945,0,0.0
Agrarian,2019.0,100,0.1091703056768559,66,0.07205240174672489,0,0.0
Agrarian,2020.0,66,0.059513074842200184,131,0.11812443642921551,1,0.0009017132551848512
Agrarian,2021.0,62,0.0713463751438435,107,0.12313003452243959,0,0.0
Agrarian,2022.0,50,0.05649717514124294,52,0.05875706214689266,0,0.0
Agrarian,2023.0,42,0.049586776859504134,43,0.05076741440377804,0,0.0
Agrarian,2024.0,35,0.03507014028056112,65,0.06513026052104208,0,0.0
Agrarian,2025.0,46,0.04291044776119403,67,0.0625,0,0.0
Christian Democracy,2010.0,60,0.02481389578163772,63,0.026054590570719603,0,0.0
Christian Democracy,2011.0,97,0.03450729277837069,94,0.03344005691924582,1,0.0003557452863749555
Christian Democracy,2012.0,63,0.02763157894736842,94,0.0412280701754386,0,0.0
Christian Democracy,2013.0,45,0.020179372197309416,103,0.04618834080717489,0,0.0
Christian Democracy,2014.0,50,0.013605442176870748,226,0.06149659863945578,0,0.0
Christian Democracy,2015.0,59,0.020013568521031207,139,0.047150610583446405,0,0.0
Christian Democracy,2016.0,53,0.02219430485762144,94,0.03936348408710218,0,0.0
Christian Democracy,2017.0,60,0.02886002886002886,111,0.05339105339105339,0,0.0
Christian Democracy,2018.0,130,0.03678551216751556,163,0.04612337294850028,2,0.0005659309564233164
Christian Democracy,2019.0,216,0.03916591115140526,240,0.043517679057116954,1,0.00018132366273798732
Christian Democracy,2020.0,128,0.02952029520295203,500,0.11531365313653137,0,0.0
Christian Democracy,2021.0,174,0.042284325637910083,456,0.11081409477521263,0,0.0
Christian Democracy,2022.0,128,0.03118148599269184,246,0.059926918392204626,1,0.000243605359317905
Christian Democracy,2023.0,126,0.03685288095934484,228,0.06668616554548114,2,0.000584966364434045
Christian Democracy,2024.0,255,0.07438739789964995,137,0.03996499416569428,0,0.0
Christian Democracy,2025.0,105,0.04355039402737453,86,0.03566984653670676,1,0.00041476565740356696
Communist/Socialist,2010.0,91,0.020083866696093577,377,0.08320459059810197,1,0.00022070183182520416
Communist/Socialist,2011.0,76,0.016633836725760562,396,0.08667104399212082,1,0.0002188662727073758
Communist/Socialist,2012.0,107,0.02213487794786926,408,0.08440215142738933,1,0.0002068680182043856
Communist/Socialist,2013.0,109,0.021730462519936204,388,0.0773524720893142,1,0.00019936204146730463
Communist/Socialist,2014.0,132,0.022742935906271536,424,0.07305306685044796,1,0.00017229496898690558
Communist/Socialist,2015.0,124,0.01977356083559241,409,0.06522085791739754,1,0.00015946420028703555
Communist/Socialist,2016.0,132,0.02120141342756184,495,0.07950530035335689,2,0.00032123353678124
Communist/Socialist,2017.0,153,0.02362934362934363,604,0.09328185328185329,1,0.00015444015444015445
Communist/Socialist,2018.0,176,0.02953515690552106,596,0.10001678133915086,0,0.0
Communist/Socialist,2019.0,323,0.061383504370961614,629,0.11953629798555682,1,0.00019004180919802356
Communist/Socialist,2020.0,269,0.03309547244094488,1355,0.16670767716535434,3,0.00036909448818897637
Communist/Socialist,2021.0,243,0.04658742331288344,753,0.14436349693251535,1,0.00019171779141104295
Communist/Socialist,2022.0,377,0.03358873841767641,937,0.08348182466143977,1,8.909479686386316e-05
Communist/Socialist,2023.0,317,0.04512455516014235,590,0.08398576512455516,0,0.0
Communist/Socialist,2024.0,250,0.03427944604415192,681,0.09337721102426985,0,0.0
Communist/Socialist,2025.0,384,0.03481098721784063,695,0.06300426071978968,0,0.0
Conservative,2010.0,36,0.010098176718092567,81,0.022720897615708276,0,0.0
Conservative,2011.0,44,0.014070994563479372,96,0.030700351774864087,0,0.0
Conservative,2012.0,54,0.015232722143864598,168,0.04739069111424542,0,0.0
Conservative,2013.0,77,0.022101033295063147,155,0.044489092996555686,0,0.0
Conservative,2014.0,110,0.0353356890459364,115,0.0369418567298426,0,0.0
Conservative,2015.0,139,0.02065685837420122,224,0.03328875018576311,0,0.0
Conservative,2016.0,94,0.012752679419346087,347,0.04707638040971374,1,0.000135666802333469
Conservative,2017.0,138,0.018976897689768978,408,0.056105610561056105,1,0.0001375137513751375
Conservative,2018.0,97,0.021517302573203195,298,0.06610470275066549,0,0.0
Conservative,2019.0,81,0.021686746987951807,188,0.05033467202141901,0,0.0
Conservative,2020.0,143,0.025981104651162792,869,0.15788517441860464,1,0.0001816860465116279
Conservative,2021.0,147,0.030073649754500817,559,0.11436170212765957,2,0.0004091653027823241
Conservative,2022.0,110,0.0205761316872428,235,0.04395809951365507,1,0.00018705574261129816
Conservative,2023.0,60,0.0192,81,0.02592,1,0.00032
Conservative,2024.0,88,0.022155085599194362,107,0.026938569989929505,0,0.0
Conservative,2025.0,58,0.012000827643285744,125,0.025863852679495137,0,0.0
Green,2010.0,344,0.08281174771304767,166,0.03996148290804044,0,0.0
Green,2011.0,314,0.07714987714987714,166,0.04078624078624079,1,0.0002457002457002457
Green,2012.0,297,0.08303047246295779,128,0.03578417668437238,0,0.0
Green,2013.0,227,0.07268651937239834,119,0.03810438680755684,2,0.0006404098623118795
Green,2014.0,348,0.09957081545064378,157,0.04492131616595136,0,0.0
Green,2015.0,493,0.13633849557522124,139,0.03844026548672566,0,0.0
Green,2016.0,409,0.12334137515078408,151,0.045536791314837156,0,0.0
Green,2017.0,438,0.1610294117647059,113,0.04154411764705882,0,0.0
Green,2018.0,381,0.18220946915351507,70,0.03347680535628886,1,0.00047824007651841227
Green,2019.0,486,0.26284478096268254,61,0.03299080584099513,1,0.0005408328826392645
Green,2020.0,385,0.19154228855721392,173,0.08606965174129354,9,0.004477611940298508
Green,2021.0,516,0.2833607907742998,181,0.09939593629873696,0,0.0
Green,2022.0,371,0.2061111111111111,77,0.042777777777777776,1,0.0005555555555555556
Green,2023.0,175,0.23458445040214476,24,0.032171581769437,1,0.0013404825737265416
Green,2024.0,213,0.22707889125799574,35,0.03731343283582089,0,0.0
Green,2025.0,119,0.15474642392717816,18,0.02340702210663199,0,0.0
